ID zgłoszenia,Tytuł zgłoszenia,Deskrypcjon,Dopasowana reguła,Typ zgłoszenia,Priorytet,Typ żądania,Data utworzenia zgłoszenia,Oczekiwany wynik,Pewność
1012,Błąd spójności danych przy Z-Report w systemie centralnym proces zatrzymuje się na 90%,Opis: Błąd spójności danych przy Z-Report w systemie centralnym proces zatrzymuje się na 90% Działanie naprawcze: Zrestartowano stanowisko POS i zweryfikowano spójność bazy danych. Podsumowanie: Raport dobowy wygenerował się poprawnie po restarcie usług.,POS - Błąd zamknięcia doby,[System] Incident,Highest,Report a system problem,01.11.2025 16:23:49,4,0.9
1013,Uszkodzone gniazdo LAN w ścianie - stanowisko nieczynne.,Opis: Uszkodzone gniazdo LAN w ścianie - stanowisko nieczynne. Działanie naprawcze: Zaktualizowano firmware urządzenia. Podsumowanie: Sprzęt działa poprawnie po wymianie.,Inne,[System] Incident,Low,Report broken hardware,01.11.2025 09:48:16,0,0.0
1014,Artefakty graficzne w interfejsie użytkownika - prośba o interwencję.,"Opis: Artefakty graficzne w interfejsie użytkownika - prośba o interwencję. Działanie naprawcze: Zmieniono rozdzielczość ekranu i przywrócono ustawienia domyślne. Podsumowanie: Interfejs wyświetla się poprawnie, artefakty zniknęły.",POS - Błąd interfejsu,[System] Incident,Low,Report a system problem,01.11.2025 15:23:43,3,0.9
1015,Timeout połączenia z bramką zamówień mobilnych błąd API aplikacja lojalnościowa,Opis: Timeout połączenia z bramką zamówień mobilnych błąd API aplikacja lojalnościowa Działanie naprawcze: Zgłoszono problem do zespołu deweloperskiego aplikacji mobilnej. Podsumowanie: Usługa przywrócona przez dostawcę zewnętrznego.,Aplikacja mobilna - Błąd API,[System] Incident,Medium,Report a system problem,01.11.2025 15:58:36,4,0.9
1016,Problem z uwierzytelnianiem dwuskładnikowym (MFA),Opis: Problem z uwierzytelnianiem dwuskładnikowym (MFA) Działanie naprawcze: Zwiększono limit quota dla skrzynki pocztowej. Podsumowanie: Użytkownik zalogował się pomyślnie.,Inne,[System] Service request,Medium,Report a system problem,01.11.2025 16:25:07,0,0.0
1017, Błąd konfiguracji adresu IP - prośba o interwencję.,Opis:  Błąd konfiguracji adresu IP - prośba o interwencję. Działanie naprawcze: Zrestartowano urządzenia sieciowe w lokalizacji. Podsumowanie: Dostęp do internetu i intranetu przywrócony.,Inne,[System] Incident,Highest,Report a system problem,01.11.2025 17:42:03,0,0.0
1018,Słuchawki z mikrofonem nie są wykrywane przez system,Opis: Słuchawki z mikrofonem nie są wykrywane przez system Działanie naprawcze: Zgłoszono naprawę gwarancyjną u producenta. Podsumowanie: Użytkownik potwierdził rozwiązanie problemu.,Inne,[System] Incident,Lowest,Report broken hardware,01.11.2025 11:16:10,0,0.0
1019,Błąd komunikacji RS232 z drukarką fiskalną - błąd powtarzalny.,"Opis: Błąd komunikacji RS232 z drukarką fiskalną - błąd powtarzalny. Działanie naprawcze: Wykonano reset sprzętowy drukarki fiskalnej. Podsumowanie: Mechanizm odblokowany, drukarka nie zgłasza błędów.",Drukarka fiskalna - Błąd pamięci,[System] Incident,High,Report broken hardware,01.11.2025 16:15:31,4,0.9
1020,Błąd autoryzacji tokena karty klienta błąd bazy danych system lojalnościowy,Opis: Błąd autoryzacji tokena karty klienta błąd bazy danych system lojalnościowy Działanie naprawcze: Zgłoszono incydent do dostawcy systemu lojalnościowego. Podsumowanie: Karty klientów są poprawnie autoryzowane.,Loyalty - Niedostępność serwisu,[System] Incident,Medium,Report a system problem,01.11.2025 09:42:16,4,0.9
1021,Awaria switcha w szafie rack,Opis: Awaria switcha w szafie rack Działanie naprawcze: Sprawdzono trasę pakietów i odblokowano porty. Podsumowanie: Telefon VoIP loguje się do centrali.,Inne,[System] Incident,Medium,Report a system problem,01.11.2025 16:48:20,0,0.0
1022,Bład synchronizacji hasła - błąd powtarzalny.,Opis: Bład synchronizacji hasła - błąd powtarzalny. Działanie naprawcze: Zresetowano hasło i wymuszono zmianę przy logowaniu. Podsumowanie: Dostęp do konta przywrócony.,Inne,[System] Service request,Medium,Report a system problem,01.11.2025 12:10:33,0,0.0
1023,Bląd synchronizacji hasla,Opis: Bląd synchronizacji hasla Działanie naprawcze: Zresetowano hasło i wymuszono zmianę przy logowaniu. Podsumowanie: Użytkownik zalogował się pomyślnie.,Inne,[System] Service request,Medium,Report a system problem,01.11.2025 21:43:29,0,0.0
1024,incydent: Utrata sygnału wideo na kontrolerze KDS stacja grill,Opis: incydent: Utrata sygnału wideo na kontrolerze KDS stacja grill Działanie naprawcze: Zrestartowano kontroler KDS. Podsumowanie: Problem rozwiązany po restarcie kontrolera.,KDS - Brak sygnału wideo,[System] Incident,Medium,Report a system problem,01.11.2025 10:01:57,3,0.9
1025,Nieudana aktualizacja systemu Windows,Opis: Nieudana aktualizacja systemu Windows Działanie naprawcze: Przeinstalowano pakiet oprogramowania biurowego. Podsumowanie: Błąd nie występuje po aktualizacji.,Inne,[System] Incident,Medium,Report a system problem,01.11.2025 10:49:54,0,0.0
1026,Błąd licencji pakietu Office,Opis: Błąd licencji pakietu Office Działanie naprawcze: Wyczyszczono profil użytkownika i pliki tymczasowe. Podsumowanie: Błąd nie występuje po aktualizacji.,Inne,[System] Incident,Medium,Report a system problem,01.11.2025 08:54:16,0,0.0
1027,Skaner dokumentów nie pobiera kartek,Opis: Skaner dokumentów nie pobiera kartek Działanie naprawcze: Zgłoszono naprawę gwarancyjną u producenta. Podsumowanie: Urządzenie przywrócone do pełnej sprawności.,Inne,[System] Incident,Low,Report a system problem,01.11.2025 08:15:13,0,0.0
1028,Incydent: Słuchawki z mikrofonem nie są wykrywane przez system,Opis: Incydent: Słuchawki z mikrofonem nie są wykrywane przez system Działanie naprawcze: Wymieniono sprzęt na zapasowy z magazynu IT. Podsumowanie: Użytkownik potwierdził rozwiązanie problemu.,Inne,[System] Incident,Lowest,Report broken hardware,01.11.2025 18:28:19,0,0.0
1029,Problem techniczny: Nieprawidlowy format danych JSON z aplikacji zgłaszane przez klientów nie nalicza rabatów aplikacja lojalnościowa,"Opis: Problem techniczny: Nieprawidlowy format danych JSON z aplikacji zgłaszane przez klientów nie nalicza rabatów aplikacja lojalnościowa Działanie naprawcze: Zgłoszono problem do zespołu deweloperskiego aplikacji mobilnej. Podsumowanie: Zgłoszenie zamknięte, błąd globalny usunięty.",Aplikacja mobilna - Błąd API,[System] Incident,Low,Report a system problem,01.11.2025 20:02:30,4,0.9
1030,Adobe Reader nie otwiera plików PDF,Opis: Adobe Reader nie otwiera plików PDF Działanie naprawcze: Dodano wyjątek w zaporze sieciowej. Podsumowanie: Błąd nie występuje po aktualizacji.,Inne,[System] Incident,Low,Report a system problem,01.11.2025 15:39:56,0,0.0
1031,Brak reakcji interfejsu na dotyk - freeze stanowisko nr 2,"Opis: Brak reakcji interfejsu na dotyk - freeze stanowisko nr 2 Działanie naprawcze: Oczyszczono pamięć podręczną aplikacji i zaktualizowano sterowniki dotyku. Podsumowanie: Stanowisko przywrócone do pracy, brak ponownych zawieszeń.",POS - Zawieszenie aplikacji,[System] Incident,High,Report a system problem,01.11.2025 19:48:39,4,0.9
1032,Zgłoszenie awarii: Błąd procedury aktualizacji PLU ceny nie zaktualizowaly się,Opis: Zgłoszenie awarii: Błąd procedury aktualizacji PLU ceny nie zaktualizowaly się Działanie naprawcze: Zrestartowano usługę replikacji danych. Podsumowanie: Cennik zaktualizowany na wszystkich stanowiskach.,System - Opóźnienie replikacji,[System] Incident,Low,Report a system problem,01.11.2025 09:32:22,3,0.9
1033,Problem techniczny: Wygasło hasło do systemu Windows,Opis: Problem techniczny: Wygasło hasło do systemu Windows Działanie naprawcze: Zresetowano hasło i wymuszono zmianę przy logowaniu. Podsumowanie: Dostęp do konta przywrócony.,Inne,[System] Service request,Medium,Report a system problem,01.11.2025 16:01:27,0,0.0
1034,brak dostępu do folderu współdzielonego,Opis: brak dostępu do folderu współdzielonego Działanie naprawcze: Odblokowano konto w Active Directory. Podsumowanie: Użytkownik zalogował się pomyślnie.,Inne,[System] Service request,Low,Report a system problem,01.11.2025 18:55:40,0,0.0
1035,Nieudana aktualizacja systemu Windows,"Opis: Nieudana aktualizacja systemu Windows Działanie naprawcze: Dodano wyjątek w zaporze sieciowej. Podsumowanie: Problem rozwiązany, użytkownik może pracować.",Inne,[System] Incident,Medium,Report a system problem,01.11.2025 16:20:36,0,0.0
1036,Teams nie łączy z spotkaniem,Opis: Teams nie łączy z spotkaniem Działanie naprawcze: Wyczyszczono profil użytkownika i pliki tymczasowe. Podsumowanie: Błąd nie występuje po aktualizacji.,Inne,[System] Incident,Medium,Report a system problem,01.11.2025 18:04:33,0,0.0
1037,Błąd spójności danych przy Z-Report brak wydruku potwierdzenia,"Opis: Błąd spójności danych przy Z-Report brak wydruku potwierdzenia Działanie naprawcze: Zrestartowano stanowisko POS i zweryfikowano spójność bazy danych. Podsumowanie: Wymagana była interwencja w strukturę bazy danych, system działa stabilnie.",POS - Błąd zamknięcia doby,[System] Incident,High,Report a system problem,01.11.2025 16:58:35,4,0.9
1038,Niemożność zapisu transakcji punktowej - błąd DB system lojalnościowy,"Opis: Niemożność zapisu transakcji punktowej - błąd DB system lojalnościowy Działanie naprawcze: Zweryfikowano połączenie internetowe z chmurą loyalty. Podsumowanie: Serwer lojalnościowy odpowiada, punkty naliczają się.",Loyalty - Niedostępność serwisu,[System] Incident,Medium,Report a system problem,01.11.2025 13:36:57,4,0.9
1039,Problem techniczny: Błąd konfiguracji adresu IP,Opis: Problem techniczny: Błąd konfiguracji adresu IP Działanie naprawcze: Zrestartowano urządzenia sieciowe w lokalizacji. Podsumowanie: Awaria infrastruktury usunięta.,Inne,[System] Incident,High,Report a system problem,01.11.2025 15:05:08,0,0.0
1040,Telefon VoIP nie ma sygnału,Opis: Telefon VoIP nie ma sygnału Działanie naprawcze: Skonfigurowano ponownie parametry karty sieciowej. Podsumowanie: Telefon VoIP loguje się do centrali.,Inne,[System] Incident,Highest,Report a system problem,01.11.2025 07:23:29,0,0.0
1041,Brak dostępu do dysku sieciowego Z:,Opis: Brak dostępu do dysku sieciowego Z: Działanie naprawcze: Dodano wyjątek w zaporze sieciowej. Podsumowanie: Aplikacja uruchamia się poprawnie.,Inne,[System] Incident,Medium,Report a system problem,01.11.2025 07:51:53,0,0.0
1042,Artefakty graficzne w interfejsie użytkownika zasłania przyciski funkcyjne problem sterownika graficznego,Opis: Artefakty graficzne w interfejsie użytkownika zasłania przyciski funkcyjne problem sterownika graficznego Działanie naprawcze: Zmieniono rozdzielczość ekranu i przywrócono ustawienia domyślne. Podsumowanie: Problem rozwiązany po aktualizacji sterowników.,POS - Błąd interfejsu,[System] Incident,Medium,Report a system problem,01.11.2025 08:10:08,3,0.9
1043,Błąd sumy kontrolnej pamięci fiskalnej drukarka Posnet paragon nie wysuwa się,Opis: Błąd sumy kontrolnej pamięci fiskalnej drukarka Posnet paragon nie wysuwa się Działanie naprawcze: Wykonano reset sprzętowy drukarki fiskalnej. Podsumowanie: Błąd pamięci ustąpił po restarcie.,Drukarka fiskalna - Błąd pamięci,[System] Incident,High,Report a system problem,01.11.2025 20:54:29,3,0.9
1044,uszkodzone gniazdo LAN w ścianie,Opis: uszkodzone gniazdo LAN w ścianie Działanie naprawcze: Zaktualizowano firmware urządzenia. Podsumowanie: Sprzęt działa poprawnie po wymianie.,Inne,[System] Incident,Low,Report broken hardware,01.11.2025 19:13:33,0,0.0
1045,Problem techniczny: Błąd API podczas walidacji kuponu mobilnego błąd API - stanowisko nieczynne. aplikacja lojalnościowa,"Opis: Problem techniczny: Błąd API podczas walidacji kuponu mobilnego błąd API - stanowisko nieczynne. aplikacja lojalnościowa Działanie naprawcze: Zrestartowano bramkę API integrującą mobile z POS. Podsumowanie: Problem rozwiązany, komunikacja API stabilna.",Aplikacja mobilna - Błąd API,[System] Incident,Medium,Report a system problem,01.11.2025 17:24:35,4,0.9
1046,uzupełnienie brakującego czasu pracy korekta czasu,"Opis: uzupełnienie brakującego czasu pracy korekta czasu Działanie naprawcze: Uzupełniono brakujące wejście/wyjście ręcznie. Podsumowanie: Korekta wprowadzona, czas pracy zgodny.",RCP - Korekta czasu,[System] Service request,Low,Report a system problem,01.11.2025 16:44:48,4,0.9
1047,Wymagany serwis: Błąd konfiguracji adresu IP,Opis: Wymagany serwis: Błąd konfiguracji adresu IP Działanie naprawcze: Skonfigurowano ponownie parametry karty sieciowej. Podsumowanie: Telefon VoIP loguje się do centrali.,Inne,[System] Incident,High,Report a system problem,01.11.2025 18:17:17,0,0.0
1048,błąd systemu: Awaria kontrolera dotyku w kiosku samoobsługowym system nie startuje,"Opis: błąd systemu: Awaria kontrolera dotyku w kiosku samoobsługowym system nie startuje Działanie naprawcze: Skalibrowano ekran dotykowy w menu serwisowym. Podsumowanie: Urządzenie wymaga wymiany ekranu, wyłączono z użycia.",Kiosk - Awaria dotyku,[System] Incident,Medium,Report broken hardware,01.11.2025 17:13:16,6,0.9
1049,Brak dostępu do folderu współdzielonego - prośba o interwencję.,Opis: Brak dostępu do folderu współdzielonego - prośba o interwencję. Działanie naprawcze: Nadano wymagane uprawnienia do grupy bezpieczeństwa. Podsumowanie: Problem z logowaniem rozwiązany.,Inne,[System] Service request,Medium,Report a system problem,01.11.2025 11:24:04,0,0.0
1050,Incydent: Nieprawidłowy format danych JSON z aplikacji aplikacja lojalnościowa,"Opis: Incydent: Nieprawidłowy format danych JSON z aplikacji aplikacja lojalnościowa Działanie naprawcze: Sprawdzono logi transakcji, błąd po stronie zewnętrznego dostawcy. Podsumowanie: Usługa przywrócona przez dostawcę zewnętrznego.",Aplikacja mobilna - Błąd API,[System] Incident,Medium,Report a system problem,01.11.2025 17:44:32,4,0.9
1051, Brak odpowiedzi z serwera lojalnosciowego (Service Unavailable) - bląd powtarzalny. system lojalnościowy,Opis:  Brak odpowiedzi z serwera lojalnosciowego (Service Unavailable) - bląd powtarzalny. system lojalnościowy Działanie naprawcze: Zrestartowano lokalny serwis proxy lojalnościowego. Podsumowanie: Karty klientów są poprawnie autoryzowane.,Loyalty - Niedostępność serwisu,[System] Incident,Medium,Report a system problem,01.11.2025 16:06:35,4,0.9
1052,Błąd synchronizacji hasła,Opis: Błąd synchronizacji hasła Działanie naprawcze: Odblokowano konto w Active Directory. Podsumowanie: Uprawnienia zostały zaktualizowane.,Inne,[System] Service request,Medium,Report a system problem,01.11.2025 21:43:06,0,0.0
1053,błąd konfiguracji adresu IP - prośba o interwencję.,"Opis: błąd konfiguracji adresu IP - prośba o interwencję. Działanie naprawcze: Sprawdzono trasę pakietów i odblokowano porty. Podsumowanie: Połączenie sieciowe stabilne, parametry w normie.",Inne,[System] Incident,Highest,Report a system problem,01.11.2025 08:18:07,0,0.0
1054,wymagany serwis: Niespójnośc sumy kontrolnej bazy produktow ceny nie zaktualizowały się - stanowisko nieczynne. synchronizacja danych,"Opis: wymagany serwis: Niespójnośc sumy kontrolnej bazy produktow ceny nie zaktualizowały się - stanowisko nieczynne. synchronizacja danych Działanie naprawcze: Wymuszono pełną synchronizację bazy produktów. Podsumowanie: Replikacja przebiegła pomyślnie, ceny są poprawne.",System - Opóźnienie replikacji,[System] Incident,Medium,Report a system problem,01.11.2025 16:47:25,4,0.9
1055,Błąd procedury aktualizacji PLU na wszystkich stanowiskach ceny nie zaktualizowały się,Opis: Błąd procedury aktualizacji PLU na wszystkich stanowiskach ceny nie zaktualizowały się Działanie naprawcze: Wymuszono pełną synchronizację bazy produktów. Podsumowanie: Cennik zaktualizowany na wszystkich stanowiskach.,System - Opóźnienie replikacji,[System] Incident,Medium,Report a system problem,01.11.2025 09:54:43,3,0.9
1056,Mysz bezprzewodowa nie paruje się z odbiornikiem,Opis: Mysz bezprzewodowa nie paruje się z odbiornikiem Działanie naprawcze: Zgłoszono naprawę gwarancyjną u producenta. Podsumowanie: Sprzęt działa poprawnie po wymianie.,Inne,[System] Incident,Low,Report broken hardware,01.11.2025 15:04:42,0,0.0
1057,Problem z zasilaczem do laptopa Dell,Opis: Problem z zasilaczem do laptopa Dell Działanie naprawcze: Zaktualizowano firmware urządzenia. Podsumowanie: Urządzenie przywrócone do pełnej sprawności.,Inne,[System] Incident,Low,Report broken hardware,01.11.2025 11:51:51,0,0.0
1058,Uszkodzona matryca w laptopie służbowym,Opis: Uszkodzona matryca w laptopie służbowym Działanie naprawcze: Zgłoszono naprawę gwarancyjną u producenta. Podsumowanie: Sprzęt działa poprawnie po wymianie.,Inne,[System] Incident,Lowest,Report broken hardware,01.11.2025 16:31:22,0,0.0
1059,Bład uruchamiania Microsoft Outlook,"Opis: Bład uruchamiania Microsoft Outlook Działanie naprawcze: Przeinstalowano pakiet oprogramowania biurowego. Podsumowanie: Problem rozwiązany, użytkownik może pracować.",Inne,[System] Incident,Medium,Report a system problem,01.11.2025 07:57:08,0,0.0
1060,Awaria kontrolera dotyku w kiosku samoobsługowym wymagany serwis on-site,"Opis: Awaria kontrolera dotyku w kiosku samoobsługowym wymagany serwis on-site Działanie naprawcze: Sprawdzono połączenia wewnętrzne kiosku. Podsumowanie: Urządzenie wymaga wymiany ekranu, wyłączono z użycia.",Kiosk - Awaria dotyku,[System] Incident,Medium,Report broken hardware,01.11.2025 15:55:40,6,0.9
1061,Problem techniczny: Telefon VoIP nie ma sygnału,Opis: Problem techniczny: Telefon VoIP nie ma sygnału Działanie naprawcze: Zrestartowano urządzenia sieciowe w lokalizacji. Podsumowanie: Telefon VoIP loguje się do centrali.,Inne,[System] Incident,High,Report a system problem,01.11.2025 15:19:37,0,0.0
1062,Teams nie łączy z spotkaniem - prośba o pilną weryfikację.,Opis: Teams nie łączy z spotkaniem - prośba o pilną weryfikację. Działanie naprawcze: Zaktualizowano system operacyjny i sterowniki. Podsumowanie: Aplikacja uruchamia się poprawnie.,Inne,[System] Incident,Medium,Report a system problem,01.11.2025 10:45:49,0,0.0
1063,Czytnik nie dekoduje standardu EAN-13 skaner Zebra czytnik kodów,"Opis: Czytnik nie dekoduje standardu EAN-13 skaner Zebra czytnik kodów Działanie naprawcze: Przeinstalowano sterownik urządzenia w systemie Windows. Podsumowanie: Sterownik zainstalowany ponownie, urządzenie wykryte.",Skaner - Błąd sterownika,[System] Incident,Medium,Report a system problem,01.11.2025 11:07:24,4,0.9
1064,Konto pocztowe przepełnione,Opis: Konto pocztowe przepełnione Działanie naprawcze: Zresetowano hasło i wymuszono zmianę przy logowaniu. Podsumowanie: Uprawnienia zostały zaktualizowane.,Inne,[System] Service request,Medium,Report a system problem,01.11.2025 11:46:39,0,0.0
1065, Zablokowane konto domenowe AD,Opis:  Zablokowane konto domenowe AD Działanie naprawcze: Nadano wymagane uprawnienia do grupy bezpieczeństwa. Podsumowanie: Użytkownik zalogował się pomyślnie.,Inne,[System] Service request,Medium,Report a system problem,01.11.2025 13:35:55,0,0.0
1066,Brak dostępu do zasobów zewnętrznych,Opis: Brak dostępu do zasobów zewnętrznych Działanie naprawcze: Skonfigurowano ponownie parametry karty sieciowej. Podsumowanie: Dostęp do internetu i intranetu przywrócony.,Inne,[System] Incident,High,Report a system problem,01.11.2025 14:17:49,0,0.0
1067,Zablokowane konto domenowe AD,Opis: Zablokowane konto domenowe AD Działanie naprawcze: Nadano wymagane uprawnienia do grupy bezpieczeństwa. Podsumowanie: Użytkownik zalogował się pomyślnie.,Inne,[System] Service request,Medium,Report a system problem,01.11.2025 22:52:10,0,0.0
1068,skaner dokumentów nie pobiera kartek,Opis: skaner dokumentów nie pobiera kartek Działanie naprawcze: Zaktualizowano firmware urządzenia. Podsumowanie: Użytkownik potwierdził rozwiązanie problemu.,Inne,[System] Incident,Low,Report broken hardware,01.11.2025 13:12:29,0,0.0
1069,Konto użytkownika wygasło użytkownik Dorota wymagany reset uprawnień,"Opis: Konto użytkownika wygasło użytkownik Dorota wymagany reset uprawnień Działanie naprawcze: Zresetowano hasło użytkownika w systemie centralnym. Podsumowanie: Dostęp przywrócony, uprawnienia zaktualizowane.",Dostęp - Błąd autoryzacji POS,[System] Service request,Low,Report a system problem,01.11.2025 08:35:13,4,0.9
1070,Uszkodzona matryca w laptopie służbowym - stanowisko nieczynne.,Opis: Uszkodzona matryca w laptopie służbowym - stanowisko nieczynne. Działanie naprawcze: Zgłoszono naprawę gwarancyjną u producenta. Podsumowanie: Sprzęt działa poprawnie po wymianie.,Inne,[System] Incident,Low,Report broken hardware,01.11.2025 13:03:50,0,0.0
1071,Zgłoszenie awarii: Zablokowane konto domenowe AD,Opis: Zgłoszenie awarii: Zablokowane konto domenowe AD Działanie naprawcze: Zresetowano hasło i wymuszono zmianę przy logowaniu. Podsumowanie: Dostęp do konta przywrócony.,Inne,[System] Service request,Medium,Report a system problem,01.11.2025 10:34:11,0,0.0
1072,Telefon VoIP nie ma sygnału,"Opis: Telefon VoIP nie ma sygnału Działanie naprawcze: Sprawdzono trasę pakietów i odblokowano porty. Podsumowanie: Połączenie sieciowe stabilne, parametry w normie.",Inne,[System] Incident,High,Report a system problem,01.11.2025 18:31:53,0,0.0
1073,Problem techniczny: Błąd procedury aktualizacji PLU ceny nie zaktualizowały się,"Opis: Problem techniczny: Błąd procedury aktualizacji PLU ceny nie zaktualizowały się Działanie naprawcze: Wymuszono pełną synchronizację bazy produktów. Podsumowanie: Problem rozwiązany, promocje są widoczne.",System - Opóźnienie replikacji,[System] Incident,Medium,Report a system problem,01.11.2025 14:59:34,3,0.9
1074,telefon VoIP nie ma sygnału,Opis: telefon VoIP nie ma sygnału Działanie naprawcze: Przełączono na łącze zapasowe. Podsumowanie: Awaria infrastruktury usunięta.,Inne,[System] Incident,Medium,Report a system problem,01.11.2025 09:02:24,0,0.0
1075,Skaner dokumentów nie pobiera kartek - prośba o interwencję.,"Opis: Skaner dokumentów nie pobiera kartek - prośba o interwencję. Działanie naprawcze: Przeczyszczono styki i sprawdzono okablowanie. Podsumowanie: Zgłoszenie zamknięte, sprzęt sprawny.",Inne,[System] Incident,Lowest,Report broken hardware,01.11.2025 09:47:46,0,0.0
1076,Wymagany serwis: Błąd sumy kontrolnej pamięci fiskalnej nie można zafiskalizować transakcji,"Opis: Wymagany serwis: Błąd sumy kontrolnej pamięci fiskalnej nie można zafiskalizować transakcji Działanie naprawcze: Wykonano reset sprzętowy drukarki fiskalnej. Podsumowanie: Drukarka fiskalna gotowa do pracy, paragon testowy wydrukowany.",Drukarka fiskalna - Błąd pamięci,[System] Incident,Highest,Report broken hardware,01.11.2025 17:41:53,3,0.9
1077,Niska przepustowośc lacza internetowego,Opis: Niska przepustowośc lacza internetowego Działanie naprawcze: Zrestartowano urządzenia sieciowe w lokalizacji. Podsumowanie: Telefon VoIP loguje się do centrali.,Inne,[System] Incident,Highest,Report a system problem,01.11.2025 14:31:33,0,0.0
1078,Brak tonera w drukarce korytarzowej,Opis: Brak tonera w drukarce korytarzowej Działanie naprawcze: Przeczyszczono styki i sprawdzono okablowanie. Podsumowanie: Sprzęt działa poprawnie po wymianie.,Inne,[System] Incident,Lowest,Report broken hardware,01.11.2025 11:14:21,0,0.0
1079,Problem techniczny: Prośba o nadanie uprawnień do grupy,Opis: Problem techniczny: Prośba o nadanie uprawnień do grupy Działanie naprawcze: Nadano wymagane uprawnienia do grupy bezpieczeństwa. Podsumowanie: Dostęp do konta przywrócony.,Inne,[System] Service request,Low,Report a system problem,01.11.2025 16:29:13,0,0.0
1080,Błąd systemu: Awaria kontrolera dotyku w kiosku samoobsługowym urządzenie wyłączone z eksploatacji,"Opis: Błąd systemu: Awaria kontrolera dotyku w kiosku samoobsługowym urządzenie wyłączone z eksploatacji Działanie naprawcze: Zgłoszono awarię sprzętową do serwisu producenta. Podsumowanie: Problem rozwiązany, kiosk przyjmuje zamówienia.",Kiosk - Awaria dotyku,[System] Incident,Medium,Report broken hardware,01.11.2025 10:01:44,6,0.9
