key,title,created,issue_type,title_clean,title_lower,category,confidence
SD-164325,Mop - prośba o wyłączenie usługi ,2025-07-02 23:15:56.972000+02:00,Poważny Incydent,Mop - prośba o wyłączenie usługi,mop - prośba o wyłączenie usługi,MOP – Prośba o włączenie/wyłączenie,0.9
SD-164324,POS i CSO - DF przestały odpowiadać,2025-07-02 23:15:25.495000+02:00,Incydent,POS i CSO - DF przestały odpowiadać,pos i cso - df przestały odpowiadać,inne,0.5
SD-164322,Dzień biznesowy niedostępny,2025-07-02 23:11:24.084000+02:00,Incydent,Dzień biznesowy niedostępny,dzień biznesowy niedostępny,Waystation – Nieprawidłowy dzień biznesowy,0.9
SD-164321,CSO28 - terminal niebieskie tło,2025-07-02 23:10:26.108000+02:00,Incydent,CSO28 - terminal niebieskie tło,cso28 - terminal niebieskie tło,inne,0.5
SD-164320,MS9 - Nie przechodzi zamknięcie w MS.,2025-07-02 23:10:19.985000+02:00,Incydent,MS9 - Nie przechodzi zamknięcie w MS.,ms9 - nie przechodzi zamknięcie w ms.,inne,0.5
SD-164319,"Problem z zamknięciem POS06 - nie przeszło na kasie, z której był zamykany dzień.",2025-07-02 23:07:21.421000+02:00,Incydent,"Problem z zamknięciem POS06 - nie przeszło na kasie, z której był zamykany dzień.","problem z zamknięciem pos06 - nie przeszło na kasie, z której był zamykany dzień.","Newpos – Zamknięcie nie przeszło na kasie, z której był zamykany dzień",0.9
SD-164318,MyStore - Prośba o pomoc w edycji odbić czasowych,2025-07-02 23:07:00.110000+02:00,Usługa,MyStore - Prośba o pomoc w edycji odbić czasowych,mystore - prośba o pomoc w edycji odbić czasowych,MyStore – Prośba o pomoc w edycji odbić czasowych,0.9
SD-164316,KVS17 - Drukarka grillowa nie drukuje zamówień ,2025-07-02 23:00:50.182000+02:00,Incydent,KVS17 - Drukarka grillowa nie drukuje zamówień,kvs17 - drukarka grillowa nie drukuje zamówień,inne,0.5
SD-164315,Korekta błędnie wbitych strat,2025-07-02 22:59:02.458000+02:00,Usługa,Korekta błędnie wbitych strat,korekta błędnie wbitych strat,inne,0.5
SD-164314,Pytanie odnośnie aktualizacji sesame ,2025-07-02 22:55:25.735000+02:00,Usługa,Pytanie odnośnie aktualizacji sesame,pytanie odnośnie aktualizacji sesame,inne,0.5
SD-164313,Zapytanie na temat zmiany linii drive ,2025-07-02 22:49:58.439000+02:00,Incydent,Zapytanie na temat zmiany linii drive,zapytanie na temat zmiany linii drive,inne,0.5
SD-164311,"Problem z zamknięciem POS24 - nie przeszło na kasie, z której był zamykany dzień.",2025-07-02 22:46:35.035000+02:00,Incydent,"Problem z zamknięciem POS24 - nie przeszło na kasie, z której był zamykany dzień.","problem z zamknięciem pos24 - nie przeszło na kasie, z której był zamykany dzień.","Newpos – Zamknięcie nie przeszło na kasie, z której był zamykany dzień",0.9
SD-164310,MS9 - Nie można ustawić inwentaryzacji dziennej.,2025-07-02 22:45:01.802000+02:00,Incydent,MS9 - Nie można ustawić inwentaryzacji dziennej.,ms9 - nie można ustawić inwentaryzacji dziennej.,inne,0.5
SD-164309,Uszkodzona drukarka fiskalna przy POS 7,2025-07-02 22:44:41.193000+02:00,Incydent,Uszkodzona drukarka fiskalna przy POS 7,uszkodzona drukarka fiskalna przy pos 7,inne,0.5
SD-164308,Minus na inwentaryzacji frytek,2025-07-02 22:43:38.198000+02:00,Usługa,Minus na inwentaryzacji frytek,minus na inwentaryzacji frytek,inne,0.5
SD-164307,Mop - prośba o wyłączenie usługi ,2025-07-02 22:42:04.128000+02:00,Incydent,Mop - prośba o wyłączenie usługi,mop - prośba o wyłączenie usługi,MOP – Prośba o włączenie/wyłączenie,0.9
SD-164306,Błędna rozdzielczość ekranu ORB01 ,2025-07-02 22:40:23.039000+02:00,Incydent,Błędna rozdzielczość ekranu ORB01,błędna rozdzielczość ekranu orb01,inne,0.5
SD-164305,TR - Zablokowany Tr Nie przechodzi zamkniecie dnia biznesowego ,2025-07-02 22:32:03.282000+02:00,Incydent,TR - Zablokowany Tr Nie przechodzi zamkniecie dnia biznesowego,tr - zablokowany tr nie przechodzi zamkniecie dnia biznesowego,inne,0.5
SD-164304,POS07 - Kasa będzie usuwana fizycznie z rest.,2025-07-02 22:26:07.199000+02:00,Incydent,POS07 - Kasa będzie usuwana fizycznie z rest.,pos07 - kasa będzie usuwana fizycznie z rest.,inne,0.5
SD-164303,Pytanie o tryb 24 na kasie ,2025-07-02 22:25:19.931000+02:00,Usługa,Pytanie o tryb 24 na kasie,pytanie o tryb 24 na kasie,inne,0.5
SD-164302,MyStore - Prośba o pomoc w edycji odbić czasowych,2025-07-02 22:24:59.338000+02:00,Incydent,MyStore - Prośba o pomoc w edycji odbić czasowych,mystore - prośba o pomoc w edycji odbić czasowych,MyStore – Prośba o pomoc w edycji odbić czasowych,0.9
SD-164301,"Newpos - Zamknięcie nie przeszło na kasie, z której był zamykany dzień.",2025-07-02 22:22:41.245000+02:00,Incydent,"Newpos - Zamknięcie nie przeszło na kasie, z której był zamykany dzień.","newpos - zamknięcie nie przeszło na kasie, z której był zamykany dzień.","Newpos – Zamknięcie nie przeszło na kasie, z której był zamykany dzień",0.9
SD-164300,Zapytanie o aktualizacje rfm - kiedy będzie,2025-07-02 22:22:21.403000+02:00,Incydent,Zapytanie o aktualizacje rfm - kiedy będzie,zapytanie o aktualizacje rfm - kiedy będzie,inne,0.5
SD-164299,POS06 - skaner nie skanuje ,2025-07-02 22:22:21.159000+02:00,Incydent,POS06 - skaner nie skanuje,pos06 - skaner nie skanuje,inne,0.5
SD-164298,migracja sesame,2025-07-02 22:16:25.278000+02:00,Incydent,migracja sesame,migracja sesame,inne,0.5
SD-164297,MyStore - Prośba o pomoc w edycji odbić czasowych,2025-07-02 22:15:44.842000+02:00,Usługa,MyStore - Prośba o pomoc w edycji odbić czasowych,mystore - prośba o pomoc w edycji odbić czasowych,MyStore – Prośba o pomoc w edycji odbić czasowych,0.9
SD-164296,POS06 - df nie pinguje ,2025-07-02 22:12:38.064000+02:00,Incydent,POS06 - df nie pinguje,pos06 - df nie pinguje,inne,0.5
SD-164295,"Problem z zamknięciem POS24 - nie przeszło na kasie, z której był zamykany dzień.",2025-07-02 22:11:42.854000+02:00,Incydent,"Problem z zamknięciem POS24 - nie przeszło na kasie, z której był zamykany dzień.","problem z zamknięciem pos24 - nie przeszło na kasie, z której był zamykany dzień.","Newpos – Zamknięcie nie przeszło na kasie, z której był zamykany dzień",0.9
SD-164294,Problem z produktem ,2025-07-02 22:10:33.119000+02:00,Incydent,Problem z produktem,problem z produktem,inne,0.5
SD-164292,Prośba o wyłączenie MOP.,2025-07-02 22:03:08.585000+02:00,Usługa,Prośba o wyłączenie MOP.,prośba o wyłączenie mop.,MOP – Prośba o włączenie/wyłączenie,0.9
SD-164291,CSO25 - prośba o odłączenie,2025-07-02 21:59:04.529000+02:00,Incydent,CSO25 - prośba o odłączenie,cso25 - prośba o odłączenie,inne,0.5
SD-164290,Cashrecycler -  zawieszona aplikacja ,2025-07-02 21:58:35.833000+02:00,Incydent,Cashrecycler -  zawieszona aplikacja,cashrecycler -  zawieszona aplikacja,inne,0.5
SD-164288,MS9 - nie można uruchomić ,2025-07-02 21:49:08.538000+02:00,Incydent,MS9 - nie można uruchomić,ms9 - nie można uruchomić,inne,0.5
SD-164287,Mystore - brak uprawnień na koncie do zarządzania listami inwentaryzacyjnymi itp. ,2025-07-02 21:48:13.698000+02:00,Incydent,Mystore - brak uprawnień na koncie do zarządzania listami inwentaryzacyjnymi itp.,mystore - brak uprawnień na koncie do zarządzania listami inwentaryzacyjnymi itp.,inne,0.5
SD-164286,MyStore - Prośba o pomoc w edycji odbić czasowych,2025-07-02 21:38:26.323000+02:00,Incydent,MyStore - Prośba o pomoc w edycji odbić czasowych,mystore - prośba o pomoc w edycji odbić czasowych,MyStore – Prośba o pomoc w edycji odbić czasowych,0.9
SD-164285,CSO26 - Nie pinguje,2025-07-02 21:31:46.383000+02:00,Incydent,CSO26 - Nie pinguje,cso26 - nie pinguje,inne,0.5
SD-164284,CSO26 - niedostępny,2025-07-02 21:31:32.675000+02:00,Incydent,CSO26 - niedostępny,cso26 - niedostępny,CSOxx – niedostępny,0.9
SD-164283,MOP - Prośba o wyłączenie,2025-07-02 21:30:31.224000+02:00,Usługa,MOP - Prośba o wyłączenie,mop - prośba o wyłączenie,MOP – Prośba o włączenie/wyłączenie,0.9
SD-164280,Pytanie o aktualizację sesame ,2025-07-02 21:26:28.369000+02:00,Incydent,Pytanie o aktualizację sesame,pytanie o aktualizację sesame,inne,0.5
SD-164279,"POS24 - nie działa skaner, brak wiązki",2025-07-02 21:23:02.355000+02:00,Incydent,"POS24 - nie działa skaner, brak wiązki","pos24 - nie działa skaner, brak wiązki",inne,0.5
SD-164278,COD - Skaner Brak wiązki,2025-07-02 21:19:38.637000+02:00,Incydent,COD - Skaner Brak wiązki,cod - skaner brak wiązki,inne,0.5
SD-164276,[Telefon serwisowy] - prośba o zmianę nagłówka DF,2025-07-02 21:17:01.883000+02:00,Incydent,[Telefon serwisowy] - prośba o zmianę nagłówka DF,[telefon serwisowy] - prośba o zmianę nagłówka df,inne,0.5
SD-164275,CSO26 - nie pinguje,2025-07-02 21:16:27.446000+02:00,Incydent,CSO26 - nie pinguje,cso26 - nie pinguje,inne,0.5
SD-164274,CSO25 - Pośba o detach - Kiosk sam się wyłącza,2025-07-02 21:12:19.358000+02:00,Incydent,CSO25 - Pośba o detach - Kiosk sam się wyłącza,cso25 - pośba o detach - kiosk sam się wyłącza,inne,0.5
SD-164273,RHS01 - Wyłączył się,2025-07-02 21:10:52.154000+02:00,Incydent,RHS01 - Wyłączył się,rhs01 - wyłączył się,inne,0.5
SD-164270,Drukarka fiskalna - CSO25 nie ucina papieru ,2025-07-02 21:04:57.693000+02:00,Incydent,Drukarka fiskalna - CSO25 nie ucina papieru,drukarka fiskalna - cso25 nie ucina papieru,inne,0.5
SD-164269,MOP - odrzucane zamówienia,2025-07-02 21:01:50.327000+02:00,Incydent,MOP - odrzucane zamówienia,mop - odrzucane zamówienia,inne,0.5
SD-164267,CFS  - brak obrazu ,2025-07-02 20:54:35.907000+02:00,Incydent,CFS  - brak obrazu,cfs  - brak obrazu,inne,0.5
SD-164266,MOP - Prośba o wyłączenie zamówień mobilnych,2025-07-02 20:52:12.825000+02:00,Usługa,MOP - Prośba o wyłączenie zamówień mobilnych,mop - prośba o wyłączenie zamówień mobilnych,MOP – Prośba o włączenie/wyłączenie,0.9
SD-164265,POS01 - błędne kolejność pojazdów i zamówień,2025-07-02 20:50:17.370000+02:00,Incydent,POS01 - błędne kolejność pojazdów i zamówień,pos01 - błędne kolejność pojazdów i zamówień,inne,0.5
SD-164264,Rest zgłasza problem z słuchawkami na Drive Thro,2025-07-02 20:33:27.153000+02:00,Usługa,Rest zgłasza problem z słuchawkami na Drive Thro,rest zgłasza problem z słuchawkami na drive thro,inne,0.5
SD-164262,MOP - włączenie usługi,2025-07-02 20:27:06.625000+02:00,Usługa,MOP - włączenie usługi,mop - włączenie usługi,MOP – Prośba o włączenie/wyłączenie,0.9
SD-164261,Mystore - problem z uruchomieniem aplikacji ,2025-07-02 20:17:26.336000+02:00,Incydent,Mystore - problem z uruchomieniem aplikacji,mystore - problem z uruchomieniem aplikacji,inne,0.5
SD-164260,RHS - Prośba o włączenie urządzeń po awarii prądu,2025-07-02 20:01:30.255000+02:00,Incydent,RHS - Prośba o włączenie urządzeń po awarii prądu,rhs - prośba o włączenie urządzeń po awarii prądu,inne,0.5
SD-164259,MOP - włączenie usługi,2025-07-02 19:55:10.927000+02:00,Usługa,MOP - włączenie usługi,mop - włączenie usługi,MOP – Prośba o włączenie/wyłączenie,0.9
SD-164257,Problem z monitorami po awarii prądu ,2025-07-02 19:40:07.824000+02:00,Incydent,Problem z monitorami po awarii prądu,problem z monitorami po awarii prądu,inne,0.5
SD-164256,"Nie zgodności  ceny aby nabić vouchery gastro, które powinny wynosić 16 zlre",2025-07-02 19:33:31.798000+02:00,Incydent,"Nie zgodności  ceny aby nabić vouchery gastro, które powinny wynosić 16 zlre","nie zgodności  ceny aby nabić vouchery gastro, które powinny wynosić 16 zlre",inne,0.5
SD-164239,POS24 - drukarka offline,2025-07-02 19:16:32.443000+02:00,Incydent,POS24 - drukarka offline,pos24 - drukarka offline,inne,0.5
SD-164238,CFS - zamiana podsumowań na ekranach,2025-07-02 19:15:13.417000+02:00,Incydent,CFS - zamiana podsumowań na ekranach,cfs - zamiana podsumowań na ekranach,inne,0.5
SD-164237,Problem z kuponem (promocja lokalna dla galerii) ,2025-07-02 19:09:10.968000+02:00,Incydent,Problem z kuponem (promocja lokalna dla galerii),problem z kuponem (promocja lokalna dla galerii),inne,0.5
SD-164235,RE: McDonald's Poland Coates Support Case 00370771 Acknowledgment,2025-07-02 19:05:51.742000+02:00,Usługa,RE: McDonald's Poland Coates Support Case 00370771 Acknowledgment,re: mcdonald's poland coates support case 00370771 acknowledgment,inne,0.5
SD-164218,MOP - wyłączenie usługi,2025-07-02 18:48:31.299000+02:00,Usługa,MOP - wyłączenie usługi,mop - wyłączenie usługi,MOP – Prośba o włączenie/wyłączenie,0.9
SD-164217,"błąd drukarki, wyskakuje cały czas komunikat ""brak papieru:",2025-07-02 18:42:38.686000+02:00,Incydent,"błąd drukarki, wyskakuje cały czas komunikat ""brak papieru:","błąd drukarki, wyskakuje cały czas komunikat ""brak papieru:",inne,0.5
SD-164216,POS24 - nie reaguje kasa ,2025-07-02 18:36:43.607000+02:00,Incydent,POS24 - nie reaguje kasa,pos24 - nie reaguje kasa,inne,0.5
SD-164215,"""Brak zainstalowanych drukarek""",2025-07-02 18:31:29.933000+02:00,Incydent,"""Brak zainstalowanych drukarek""","""brak zainstalowanych drukarek""",inne,0.5
SD-164214,Problem ze zużyciem - rozbieżności na większości produktów ,2025-07-02 18:25:41.095000+02:00,Usługa,Problem ze zużyciem - rozbieżności na większości produktów,problem ze zużyciem - rozbieżności na większości produktów,inne,0.5
SD-164213,CSO25 - niedostępny,2025-07-02 18:07:56.495000+02:00,Incydent,CSO25 - niedostępny,cso25 - niedostępny,CSOxx – niedostępny,0.9
SD-164212,Czcionka DT monitor 34,2025-07-02 18:05:23.851000+02:00,Incydent,Czcionka DT monitor 34,czcionka dt monitor 34,inne,0.5
SD-164210,czasy obsługi mystore,2025-07-02 17:51:56.765000+02:00,Incydent,czasy obsługi mystore,czasy obsługi mystore,inne,0.5
SD-164209,Włączenie usługi MOP ,2025-07-02 17:50:57.357000+02:00,Incydent,Włączenie usługi MOP,włączenie usługi mop,MOP – Prośba o włączenie/wyłączenie,0.9
SD-164208,POS01 - newpos zawieszona kasa nie reaguje na dotyk,2025-07-02 17:50:07.983000+02:00,Incydent,POS01 - newpos zawieszona kasa nie reaguje na dotyk,pos01 - newpos zawieszona kasa nie reaguje na dotyk,inne,0.5
SD-164207,Głuchy telefon,2025-07-02 17:48:54.283000+02:00,Incydent,Głuchy telefon,głuchy telefon,inne,0.5
SD-164205,Laptop kierownika - Rest pyta czy może dostać zdalny dostęp do pików na BackOffice,2025-07-02 17:43:38.096000+02:00,Usługa,Laptop kierownika - Rest pyta czy może dostać zdalny dostęp do pików na BackOffice,laptop kierownika - rest pyta czy może dostać zdalny dostęp do pików na backoffice,inne,0.5
SD-164204,Problem z zalogowaniem,2025-07-02 17:37:34.512000+02:00,Incydent,Problem z zalogowaniem,problem z zalogowaniem,inne,0.5
SD-164203,POS01 - Waystatio offline - błąd DF,2025-07-02 17:25:27.164000+02:00,Incydent,POS01 - Waystatio offline - błąd DF,pos01 - waystatio offline - błąd df,inne,0.5
SD-164201,Proszę o zmniejszenie czcionki na monitorze runner DT ,2025-07-02 17:16:54.925000+02:00,Incydent,Proszę o zmniejszenie czcionki na monitorze runner DT,proszę o zmniejszenie czcionki na monitorze runner dt,inne,0.5
SD-164200,KVS22 - Rest widzi czarny ekran,2025-07-02 17:06:30.847000+02:00,Incydent,KVS22 - Rest widzi czarny ekran,kvs22 - rest widzi czarny ekran,inne,0.5
SD-164199,KVSy (większość) - nie uruchamiają się po awarii prądu,2025-07-02 17:01:07.429000+02:00,Incydent,KVSy (większość) - nie uruchamiają się po awarii prądu,kvsy (większość) - nie uruchamiają się po awarii prądu,inne,0.5
SD-164198,Po Awarii prądu - włączenie RHS,2025-07-02 16:57:04.199000+02:00,Incydent,Po Awarii prądu - włączenie RHS,po awarii prądu - włączenie rhs,inne,0.5
SD-164197,MyStore - Pokazuje się zużycie na  promocyjnych szklankach które powinno pokazywać się dopiero 09.07.2025,2025-07-02 16:51:09.485000+02:00,Usługa,MyStore - Pokazuje się zużycie na  promocyjnych szklankach które powinno pokazywać się dopiero 09.07.2025,mystore - pokazuje się zużycie na  promocyjnych szklankach które powinno pokazywać się dopiero 09.07.2025,inne,0.5
SD-164196,Nie drukuje opisek,2025-07-02 16:40:48.772000+02:00,Incydent,Nie drukuje opisek,nie drukuje opisek,inne,0.5
SD-164194,Spadek,2025-07-02 16:34:55.343000+02:00,Incydent,Spadek,spadek,inne,0.5
SD-164192,Idzie zużycie szklanek których jeszcze nie mamy w ofercie ,2025-07-02 16:30:30.534000+02:00,Incydent,Idzie zużycie szklanek których jeszcze nie mamy w ofercie,idzie zużycie szklanek których jeszcze nie mamy w ofercie,inne,0.5
SD-164191,CFS Line 2 - brak podglądu na kamery,2025-07-02 16:28:34.527000+02:00,Incydent,CFS Line 2 - brak podglądu na kamery,cfs line 2 - brak podglądu na kamery,inne,0.5
SD-164190,problem z aplikacja,2025-07-02 16:28:25.241000+02:00,Incydent,problem z aplikacja,problem z aplikacja,inne,0.5
SD-164188,iDMB FC3 logo Magic Info,2025-07-02 16:24:07.809000+02:00,Incydent,iDMB FC3 logo Magic Info,idmb fc3 logo magic info,inne,0.5
SD-164187,MOP - Rest prosił o informacje czy zamówienia mobilne działają poprawnie,2025-07-02 16:14:20.702000+02:00,Incydent,MOP - Rest prosił o informacje czy zamówienia mobilne działają poprawnie,mop - rest prosił o informacje czy zamówienia mobilne działają poprawnie,inne,0.5
SD-164184,Awaria Prądu - Prośba o wyłączenie RHS,2025-07-02 16:10:06.875000+02:00,Poważny Incydent,Awaria Prądu - Prośba o wyłączenie RHS,awaria prądu - prośba o wyłączenie rhs,inne,0.5
SD-164182,MyStore - Nie można wykonać edycji odbicia czasowych jednego pracownika,2025-07-02 16:02:07.837000+02:00,Usługa,MyStore - Nie można wykonać edycji odbicia czasowych jednego pracownika,mystore - nie można wykonać edycji odbicia czasowych jednego pracownika,MyStore – Prośba o pomoc w edycji odbić czasowych,0.9
SD-164181,różnica w danych pomiędzy raportem,2025-07-02 15:56:04.994000+02:00,Incydent,różnica w danych pomiędzy raportem,różnica w danych pomiędzy raportem,inne,0.5
SD-164180,Zamówienia nie wpadają na monitory ,2025-07-02 15:54:12.300000+02:00,Incydent,Zamówienia nie wpadają na monitory,zamówienia nie wpadają na monitory,inne,0.5
SD-164179,Świeci dioda połączenia z ministerstwem Finansów ,2025-07-02 15:53:31.526000+02:00,Incydent,Świeci dioda połączenia z ministerstwem Finansów,świeci dioda połączenia z ministerstwem finansów,inne,0.5
SD-164178,RE: McDonald's PL Plock-61600188 Coates Support Case 00370829 Acknowledgment,2025-07-02 15:51:53.474000+02:00,Usługa,RE: McDonald's PL Plock-61600188 Coates Support Case 00370829 Acknowledgment,re: mcdonald's pl plock-61600188 coates support case 00370829 acknowledgment,inne,0.5
SD-164177,POS06 - nie reaguje,2025-07-02 15:50:56.207000+02:00,Incydent,POS06 - nie reaguje,pos06 - nie reaguje,inne,0.5
SD-164173,RE: McDonald's PL Czechowice-Dziedzice-61600575 Coates Support Case 00370416 Acknowledgment,2025-07-02 15:44:51.811000+02:00,Usługa,RE: McDonald's PL Czechowice-Dziedzice-61600575 Coates Support Case 00370416 Acknowledgment,re: mcdonald's pl czechowice-dziedzice-61600575 coates support case 00370416 acknowledgment,inne,0.5
SD-164172,MOP Ceny - nie zgadzają się,2025-07-02 15:44:42.715000+02:00,Poważny Incydent,MOP Ceny - nie zgadzają się,mop ceny - nie zgadzają się,inne,0.5
SD-164171,Asista,2025-07-02 15:43:17.779000+02:00,Incydent,Asista,asista,inne,0.5
SD-164170,Wyse.5 - Bardzo wolno działa,2025-07-02 15:43:04.238000+02:00,Incydent,Wyse.5 - Bardzo wolno działa,wyse.5 - bardzo wolno działa,inne,0.5
SD-164169,Zalana drukarka oraz wypadła czesc i nie mozna jej zamknac,2025-07-02 15:36:53.684000+02:00,Incydent,Zalana drukarka oraz wypadła czesc i nie mozna jej zamknac,zalana drukarka oraz wypadła czesc i nie mozna jej zamknac,inne,0.5
SD-164168,nieprawidłowe działanie aplikacji GAM,2025-07-02 15:36:47.699000+02:00,Incydent,nieprawidłowe działanie aplikacji GAM,nieprawidłowe działanie aplikacji gam,inne,0.5
SD-164167,Konto imienne  - restart hasła ,2025-07-02 15:36:25.452000+02:00,Incydent,Konto imienne  - restart hasła,konto imienne  - restart hasła,inne,0.5
SD-164166,nie dzialaja skanery kodow qr,2025-07-02 15:34:32.875000+02:00,Incydent,nie dzialaja skanery kodow qr,nie dzialaja skanery kodow qr,inne,0.5
SD-164165,ODMB - Kamera na 1 linii DT wyświetla zielony obraz,2025-07-02 15:32:15.016000+02:00,Incydent,ODMB - Kamera na 1 linii DT wyświetla zielony obraz,odmb - kamera na 1 linii dt wyświetla zielony obraz,inne,0.5
SD-164164,MCC_2 - czarny ekran - przyciemniony,2025-07-02 15:30:42.010000+02:00,Incydent,MCC_2 - czarny ekran - przyciemniony,mcc_2 - czarny ekran - przyciemniony,inne,0.5
SD-164163,Dodanie maila do skanera ,2025-07-02 15:24:14.036000+02:00,Incydent,Dodanie maila do skanera,dodanie maila do skanera,inne,0.5
SD-164161,HWA01 - Nie pinguje,2025-07-02 15:16:40.442000+02:00,Incydent,HWA01 - Nie pinguje,hwa01 - nie pinguje,inne,0.5
SD-164160,POs08 - fiscal driver is not started ,2025-07-02 15:16:03.084000+02:00,Incydent,POs08 - fiscal driver is not started,pos08 - fiscal driver is not started,inne,0.5
SD-164159,KVS34 - BumpBar - nie kasuje zamówień,2025-07-02 15:13:07.312000+02:00,Incydent,KVS34 - BumpBar - nie kasuje zamówień,kvs34 - bumpbar - nie kasuje zamówień,inne,0.5
SD-164158,Skaner nie przesyłka skanów dokumentów na email,2025-07-02 15:11:49.286000+02:00,Incydent,Skaner nie przesyłka skanów dokumentów na email,skaner nie przesyłka skanów dokumentów na email,inne,0.5
SD-164157,NewPos - Nie załadował się na TAP45,2025-07-02 15:07:44.308000+02:00,Incydent,NewPos - Nie załadował się na TAP45,newpos - nie załadował się na tap45,inne,0.5
SD-164156,POS01 - problem z terminalem / przyjęciem płatności ,2025-07-02 15:04:48.235000+02:00,Incydent,POS01 - problem z terminalem / przyjęciem płatności,pos01 - problem z terminalem / przyjęciem płatności,inne,0.5
SD-164155,Raport PMX,2025-07-02 15:00:52.734000+02:00,Incydent,Raport PMX,raport pmx,inne,0.5
SD-164151,KVS34 - problem z dotykiem - kasowaniem zamówień,2025-07-02 14:48:22.524000+02:00,Incydent,KVS34 - problem z dotykiem - kasowaniem zamówień,kvs34 - problem z dotykiem - kasowaniem zamówień,inne,0.5
SD-164149,[Telefon serwisowy] Konfiguracja cennika elektronicznego,2025-07-02 14:34:04.465000+02:00,Incydent,[Telefon serwisowy] Konfiguracja cennika elektronicznego,[telefon serwisowy] konfiguracja cennika elektronicznego,inne,0.5
SD-164147,RHS01 - Maile o przegrzewającym się serwerze,2025-07-02 14:24:46.094000+02:00,Incydent,RHS01 - Maile o przegrzewającym się serwerze,rhs01 - maile o przegrzewającym się serwerze,inne,0.5
SD-164146,Newpos - błędne ceny produktu,2025-07-02 14:23:51.889000+02:00,Incydent,Newpos - błędne ceny produktu,newpos - błędne ceny produktu,inne,0.5
SD-164145,HWA01 - nie włącza się,2025-07-02 14:23:50.125000+02:00,Incydent,HWA01 - nie włącza się,hwa01 - nie włącza się,inne,0.5
SD-164144,Pytanie o wdrożenie SBS,2025-07-02 14:23:34.838000+02:00,Incydent,Pytanie o wdrożenie SBS,pytanie o wdrożenie sbs,inne,0.5
SD-164143,test,2025-07-02 14:22:25.296000+02:00,Usługa,test,test,inne,0.5
SD-164142,Zapełnienie pamięci chronionej 90%,2025-07-02 14:22:20.171000+02:00,Incydent,Zapełnienie pamięci chronionej 90%,zapełnienie pamięci chronionej 90%,inne,0.5
